festival,frequentation_totale,latitude,longitude,villes
Festival Interceltique de Lorient,800000,47.7462112,-3.3645499,Lorient
Festival Des Vieilles Charrues,270000,48.270985,-3.550683,Carhaix-Plouguer
Jazz In Marciac,250000,43.5208845,0.1544054,Marciac
Jazz à Vienne,229000,45.5239359,4.8785705,Vienne
Hellfest,180000,47.095274,-1.267273,Clisson
Solidays,227000,48.856428,2.23486,Paris
Les Francofolies de La Rochelle,150000,46.154979,-1.15723,La Rochelle
Nuits Sonores,131000,45.7402175,4.8174147,Lyon
Les Eurockéennes De Belfort,128000,47.639674,6.863849,Belfort
Main Square,115731,50.282796,2.759553,Arras
Lollapalloza Paris,95000,48.851077,2.240288,Paris
Rock En Seine,100000,48.8375,2.2147222,Paris
Nancy Jazz Pulsations,80000,48.692054,6.184417,Nancy
Garorock,160000,44.493095,0.165207,Marmande
Le Cabaret Vert,102000,49.762085,4.726096,Charleville-Mézières
Musilac,90000,45.699077,5.8864,Aix-les-Bains
American Tours Festival,65560,47.394143,0.68484,Tours
Foire Aux Vins D'Alsace,316140,48.098389,7.358449,Colmar
Printemps de Bourges,200000,47.059424,2.3689343,Bourges
Art Rock,78000,48.513705,-2.761022,Saint-Brieuc
Rio Loco Garonne,60000,43.6040202,1.4773114,Toulouse
Reggae Sun Ska Festival,27500,44.794579,-0.618127,Pessac
Pause Guitare,84000,43.926896,2.146343,Albi
Papillons De Nuit,75000,48.749361,-1.06783,Saint-Pois
Festival Beauregard,108000,49.192527,-0.336696,Hérouville-Saint-Clair
Ardeche Aluna Festival,65000,44.445678,4.368719,Ruoms
Les Deferlantes Sud de France,70000,42.546214,3.022911,Argelès-sur-Mer
Festival Du Bout Du Monde,60000,48.222796,-4.505592,Crozon
Festival Mythos,41600,48.067872,-1.720771,Rennes
Festival de Poupet,80000,46.929895,-0.902591,Saint-Malo-du-Bois
Festival Fête du Bruit dans Landerneau,55000,48.4536569,-4.2520723,Landerneau
Festival Fête du Bruit Saint Nolff,28000,47.702961,-2.651253,Saint-Nolff
Europavox,35000,45.771264,3.1198023,Clermont-Ferrand
Les Suds à Arles,45000,43.6017739,4.6243751,Arles
Musicalarue,54000,44.238169,-0.5060765,Luxey
Worldwide Festival,53500,43.395615,3.701351,Sète
Nice Jazz Festival,42700,43.695627,7.267804,Nice
Festival Ecaussysteme,36000,44.9862655,1.4712965,Gignac
No Logo Festival,42000,47.14871,5.762568,Fraisans
Les Escales De St-Nazaire,45000,47.2769565,-2.2418634,Saint-Nazaire
Cognac Blues Passions,45000,45.697561,-0.327712,Cognac
Electrobeach,165000,42.8289885,3.038997,Le Barcarès
Terres Du Son,40000,47.277457,0.624812,Monts
La Route Du Rock,25000,48.568352,-1.925808,Saint-Père-Marc-en-Poulet
Les Nuits Secrètes,54000,50.2036265,3.8311845,Aulnoye-Aymeries
Brive Festival,36000,45.159555,1.533937,Brive-la-Gaillarde
Festival Panoramas,24000,48.585578,-3.791518,Morlaix
Fiest'A Sete,32000,43.387023,3.648791,Sète
La Nuit De L'Erdre,54000,47.430217,-1.497324,Nort-sur-Erdre
The peacock Society,20000,48.838495,2.444345,Paris
Rock the Pistes,20000,46.267395,6.841151,Châtel
Les Plages Electroniques,40000,43.552847,7.017369,Cannes
Au Fil Du Son,35000,46.158201,0.301748,Civray
Delta Festival,40000,43.262777,5.371388,Marseille
Festival Du Roi Arthur,45000,48.0443829,-1.8733005,Breal-sous-Montfort
Jazz à Juan,27000,43.567223,7.115144,Juan-les-Pins
La Bonne Aventure,41000,51.034368,2.376776,Dunkerque
Marsatac,30000,43.3116356,5.3924214,Marseille
Dub Camp Festival,29000,47.2311257,-1.8347298,Le Pellerin
Décibulles,28000,48.323781,7.3092881,Neuve-Église
Festival Rolling Saone,20500,47.448212,5.593909,Gray
Free Music Festival,35000,45.283726,-0.409691,Montendre
Festival de la Paille,25000,46.773705,6.350551,Métabief
24 heures de l'Insa,40000,45.782938,4.878273,Villeurbanne
Jazz en Baie,25000,48.750141,-1.55747,Carolles
